segment_id,road_name,artery,highway,length_m,oneway,avg_congestion,avg_speed_kmh,avg_vehicles,mid_lat,mid_lon,congestion_band,band_colour
1368781936_1368782088,,Other,residential,31.103323243799547,1,0.301,43.38,31.0,-17.828166,31.046656,Moderate,#BA7517
1368781936_284368728,,Other,residential,270.7147668331084,0,0.2924,43.86,30.0,-17.835454,31.045743,Free flow,#1D9E75
1368782063_1368781936,,Other,residential,26.69706190114952,1,0.2784,44.63,29.0,-17.8266,31.061897,Free flow,#1D9E75
1368782088_1368782063,,Other,residential,21.79728491696892,1,0.2726,44.95,28.0,-17.830133,31.03941,Free flow,#1D9E75
1368782088_5168883142,Amoth Chingombe Avenue,Other,residential,95.57046662726056,1,0.2946,43.74,31.0,-17.822735,31.067922,Free flow,#1D9E75
1368793568_1368793598,,Other,trunk_link,52.964763220269816,1,0.2807,44.51,29.0,-17.836916,31.060455,Free flow,#1D9E75
1368793568_282780241,Abdel Gamal Nasser Road,Other,trunk,38.72426454234939,0,0.2747,44.83,28.0,-17.833738,31.062968,Free flow,#1D9E75
1368793568_315627146,Abdel Gamal Nasser Road,Other,trunk,110.6405916477986,0,0.2789,44.6,28.0,-17.834285,31.048104,Free flow,#1D9E75
1368793591_281615470,Abdel Gamal Nasser Road,Other,trunk,27.033395331435543,0,0.3076,43.02,32.0,-17.84338,31.051098,Moderate,#BA7517
1368793591_5168883139,Abdel Gamal Nasser Road,Other,trunk,12.911481673407996,0,0.275,44.82,28.0,-17.828443,31.038823,Free flow,#1D9E75
1368793598_287986260,Jason Moyo Avenue,Other,tertiary,98.9443537167518,1,0.289,44.05,29.0,-17.828741,31.047513,Free flow,#1D9E75
1368793608_1368793591,,Other,trunk_link,45.66833720378054,1,0.2882,44.09,29.0,-17.830914,31.057255,Free flow,#1D9E75
1368793608_281615470,Jason Moyo Avenue,Other,tertiary,33.599700536003915,1,0.286,44.21,28.0,-17.832948,31.064931,Free flow,#1D9E75
1498566698_281643669,Patrice Lumumba Street,Other,residential,82.34976561528107,1,0.2882,44.09,29.0,-17.842971,31.041941,Free flow,#1D9E75
1498566698_6146785721,Agostinho Neto Avenue,Other,residential,22.448460442431617,1,0.2831,44.37,28.0,-17.834527,31.049036,Free flow,#1D9E75
1498591801_282546190,Fourth Street,Other,secondary,93.9060368391434,1,0.3064,43.09,32.0,-17.833866,31.051085,Moderate,#BA7517
1498591801_282780081,Agostinho Neto Avenue,Other,residential,18.57987545885676,0,0.2771,44.7,28.0,-17.837767,31.03918,Free flow,#1D9E75
1704360873_2929365818,Vitalis Zvinavashe Road,Other,primary,190.80025852710972,0,0.2708,45.05,28.0,-17.832326,31.058189,Free flow,#1D9E75
1704360873_6290533084,Vitalis Zvinavashe Road,Other,primary,96.86102789064236,0,0.3139,42.67,31.0,-17.827527,31.045607,Moderate,#BA7517
1704360873_7401678774,,Other,residential,33.588351511230016,0,0.2821,44.43,28.0,-17.814946,31.050663,Free flow,#1D9E75
1704360877_1704360921,,Other,residential,215.52414457733232,0,0.2884,44.08,30.0,-17.829475,31.048209,Free flow,#1D9E75
1704360877_320001438,,Other,residential,72.95516698678276,0,0.2907,43.96,29.0,-17.828771,31.044982,Free flow,#1D9E75
1704360877_6167661530,,Other,residential,140.43907241568238,0,0.2629,45.49,27.0,-17.831589,31.052465,Free flow,#1D9E75
1704360921_1704360877,,Other,residential,215.52414457733232,0,0.2879,44.11,30.0,-17.847244,31.05047,Free flow,#1D9E75
1704360921_320001441,,Other,residential,123.2478807652384,0,0.2752,44.81,29.0,-17.831182,31.048975,Free flow,#1D9E75
1704360921_6167542751,,Other,residential,84.70225890034021,0,0.2752,44.81,29.0,-17.830446,31.045564,Free flow,#1D9E75
1704360933_1704360958,,Other,residential,91.821893886805,0,0.2947,43.74,30.0,-17.810048,31.055589,Free flow,#1D9E75
1704360933_1704361044,Munro Road,Other,residential,254.2935457181794,0,0.2719,44.99,28.0,-17.83259,31.068351,Free flow,#1D9E75
1704360933_320001442,Munro Road,Other,residential,89.72936947702188,0,0.286,44.22,30.0,-17.828397,31.053871,Free flow,#1D9E75
1704360958_1704360933,,Other,residential,91.821893886805,0,0.2687,45.17,28.0,-17.831252,31.062061,Free flow,#1D9E75
1704360958_1704360980,,Other,residential,89.94707853645097,0,0.3016,43.35,30.0,-17.840877,31.039233,Moderate,#BA7517
1704360958_1704360985,,Other,residential,111.38988244501512,0,0.2635,45.45,28.0,-17.821256,31.054042,Free flow,#1D9E75
1704360980_1704360958,,Other,residential,89.94707853645097,0,0.2765,44.74,27.0,-17.824574,31.042035,Free flow,#1D9E75
1704360980_1704360987,,Other,residential,91.1968632394924,0,0.2783,44.64,30.0,-17.824242,31.038404,Free flow,#1D9E75
1704360980_1704361013,,Other,residential,112.99440101749065,0,0.2654,45.35,27.0,-17.838676,31.04546,Free flow,#1D9E75
1704360985_1704360958,,Other,residential,111.38988244501512,0,0.29,43.99,29.0,-17.81905,31.063934,Free flow,#1D9E75
1704360987_1704360980,,Other,residential,91.1968632394924,0,0.2889,44.05,30.0,-17.842856,31.06162,Free flow,#1D9E75
1704360987_1704361045,,Other,residential,90.6475890491644,0,0.2679,45.21,28.0,-17.825975,31.054857,Free flow,#1D9E75
1704360987_1704361057,,Other,residential,108.34024600196676,0,0.2823,44.42,28.0,-17.812364,31.037871,Free flow,#1D9E75
1704361013_1704360980,,Other,residential,112.99440101749065,0,0.2616,45.56,26.0,-17.839365,31.050655,Free flow,#1D9E75
1704361044_1704360933,Munro Road,Other,residential,254.29354571817936,0,0.2686,45.17,27.0,-17.835764,31.055419,Free flow,#1D9E75
1704361044_1704361062,,Other,residential,141.20828934265165,0,0.2739,44.88,28.0,-17.830111,31.054212,Free flow,#1D9E75
1704361044_5169601564,Munro Road,Other,residential,163.41887578743928,0,0.2713,45.02,28.0,-17.835231,31.034895,Free flow,#1D9E75
1704361045_1704360987,,Other,residential,90.6475890491644,0,0.2971,43.6,30.0,-17.844119,31.044016,Free flow,#1D9E75
1704361045_1704361087,,Other,residential,110.20887738358266,0,0.2646,45.4,27.0,-17.830375,31.051919,Free flow,#1D9E75
1704361057_1704360987,,Other,residential,108.34024600196676,0,0.2626,45.5,27.0,-17.839974,31.057663,Free flow,#1D9E75
1704361062_1704361044,,Other,residential,141.20828934265165,0,0.2665,45.29,28.0,-17.826937,31.031524,Free flow,#1D9E75
1704361062_1704361108,,Other,residential,90.7480368582831,0,0.2606,45.62,27.0,-17.838761,31.050982,Free flow,#1D9E75
1704361062_1704361113,,Other,residential,92.12458499375845,0,0.267,45.26,27.0,-17.817801,31.053901,Free flow,#1D9E75
1704361087_1704361045,,Other,residential,110.20887738358266,0,0.2816,44.46,28.0,-17.837605,31.06066,Free flow,#1D9E75
1704361108_1704361062,,Other,residential,90.7480368582831,0,0.2622,45.53,27.0,-17.833691,31.05916,Free flow,#1D9E75
1704361108_1704361149,,Other,residential,94.67469459042964,0,0.2622,45.53,28.0,-17.824052,31.058105,Free flow,#1D9E75
1704361108_1704361157,,Other,residential,195.97665578935965,0,0.3129,42.73,32.0,-17.841405,31.04488,Moderate,#BA7517
1704361113_1704361062,,Other,residential,92.12458499375845,0,0.2891,44.04,30.0,-17.829026,31.03428,Free flow,#1D9E75
1704361149_1704361108,,Other,residential,94.67469459042964,0,0.2813,44.47,29.0,-17.819861,31.048772,Free flow,#1D9E75
1704361149_1704361159,,Other,residential,93.8270380921834,0,0.2637,45.45,27.0,-17.844602,31.062114,Free flow,#1D9E75
1704361149_1704361175,,Other,residential,93.86408661421152,0,0.3055,43.14,31.0,-17.82939,31.065862,Moderate,#BA7517
1704361153_1704361205,Munro Road,Other,residential,100.36411308598652,0,0.2639,45.43,27.0,-17.828751,31.05933,Free flow,#1D9E75
1704361153_1704361223,,Other,residential,194.16320388002325,0,0.298,43.55,31.0,-17.824321,31.05664,Free flow,#1D9E75
1704361153_5169601564,Munro Road,Other,residential,95.61655790418882,0,0.3121,42.77,31.0,-17.841457,31.056164,Moderate,#BA7517
1704361157_1704361108,,Other,residential,195.97665578935965,0,0.2728,44.94,29.0,-17.842165,31.047213,Free flow,#1D9E75
1704361157_1704361209,Biddulph Road,Other,residential,95.99524174778428,0,0.2726,44.95,29.0,-17.826527,31.051288,Free flow,#1D9E75
1704361159_1704361149,,Other,residential,93.8270380921834,0,0.311,42.83,31.0,-17.828436,31.068499,Moderate,#BA7517
1704361175_1704361149,,Other,residential,93.8640866142115,0,0.2704,45.08,28.0,-17.828831,31.043516,Free flow,#1D9E75
1704361175_1704361216,,Other,residential,87.63290152389415,0,0.2998,43.45,30.0,-17.828016,31.06798,Free flow,#1D9E75
1704361175_1704361223,,Other,residential,98.70984876081432,0,0.2783,44.64,29.0,-17.836729,31.049452,Free flow,#1D9E75
1704361205_1704361153,Munro Road,Other,residential,100.36411308598652,0,0.3061,43.1,31.0,-17.828985,31.065212,Moderate,#BA7517
1704361205_1704361233,,Other,residential,94.52551351060995,0,0.289,44.05,30.0,-17.828469,31.039075,Free flow,#1D9E75
1704361205_1704361312,Munro Road,Other,residential,242.7909686010477,0,0.2942,43.76,31.0,-17.837021,31.058137,Free flow,#1D9E75
1704361209_1704361157,Biddulph Road,Other,residential,95.99524174778426,0,0.2628,45.49,27.0,-17.81512,31.045484,Free flow,#1D9E75
1704361209_1704361245,,Other,residential,97.40750855811388,0,0.2861,44.21,28.0,-17.826935,31.038994,Free flow,#1D9E75
1704361209_1704361274,Biddulph Road,Other,residential,193.4510644685316,0,0.2936,43.79,30.0,-17.841069,31.054623,Free flow,#1D9E75
1704361216_1704361175,,Other,residential,87.63290152389415,0,0.2879,44.11,30.0,-17.825384,31.062189,Free flow,#1D9E75
1704361223_1704361153,,Other,residential,194.16320388002327,0,0.275,44.82,28.0,-17.83923,31.04445,Free flow,#1D9E75
1704361223_1704361175,,Other,residential,98.70984876081432,0,0.2805,44.52,29.0,-17.824276,31.038193,Free flow,#1D9E75
1704361223_1704361274,,Other,residential,191.3219967570388,0,0.2872,44.15,29.0,-17.821122,31.051654,Free flow,#1D9E75
1704361233_1704361205,,Other,residential,94.52551351060995,0,0.3099,42.9,31.0,-17.837923,31.051696,Moderate,#BA7517
1704361233_1704361267,,Other,residential,94.72688463189648,0,0.2806,44.51,29.0,-17.822779,31.057778,Free flow,#1D9E75
1704361233_1704361309,,Other,residential,163.14765448287082,0,0.2882,44.09,30.0,-17.827453,31.061616,Free flow,#1D9E75
1704361245_1704361209,,Other,residential,97.4075085581139,0,0.285,44.27,29.0,-17.823979,31.051964,Free flow,#1D9E75
1704361267_1704361233,,Other,residential,94.72688463189648,0,0.2751,44.82,29.0,-17.814856,31.070282,Free flow,#1D9E75
1704361267_1704361290,,Other,residential,99.0060839719101,0,0.2918,43.89,30.0,-17.83304,31.054677,Free flow,#1D9E75
1704361267_1704361303,,Other,residential,93.52186875651483,0,0.2685,45.18,27.0,-17.837355,31.049218,Free flow,#1D9E75
1704361274_1704361209,Biddulph Road,Other,residential,193.4510644685316,0,0.2986,43.52,30.0,-17.838507,31.037116,Free flow,#1D9E75
1704361274_1704361223,,Other,residential,191.3219967570388,0,0.2827,44.39,28.0,-17.837882,31.05002,Free flow,#1D9E75
1704361274_1704361324,Biddulph Road,Other,residential,99.3339257513632,0,0.2819,44.44,29.0,-17.831611,31.049315,Free flow,#1D9E75
1704361274_1704361368,,Other,residential,287.6221176661012,0,0.2753,44.8,29.0,-17.828061,31.061719,Free flow,#1D9E75
1704361290_1704361267,,Other,residential,99.0060839719101,0,0.2675,45.23,27.0,-17.828608,31.056957,Free flow,#1D9E75
1704361290_1704361324,,Other,residential,97.8537194018824,0,0.2773,44.69,28.0,-17.823936,31.04125,Free flow,#1D9E75
1704361290_1704361329,,Other,residential,92.69495352014478,0,0.2763,44.75,29.0,-17.830847,31.05418,Free flow,#1D9E75
1704361303_1704361267,,Other,residential,93.52186875651483,0,0.2725,44.96,28.0,-17.818619,31.058956,Free flow,#1D9E75
1704361303_1704361309,,Other,residential,74.15683001077072,0,0.2894,44.03,29.0,-17.833203,31.06715,Free flow,#1D9E75
1704361303_1704361329,,Other,residential,95.68593201034884,0,0.2875,44.13,29.0,-17.807867,31.061022,Free flow,#1D9E75
1704361309_1704361233,,Other,residential,163.14765448287085,0,0.2974,43.58,30.0,-17.825646,31.059811,Free flow,#1D9E75
1704361309_1704361303,,Other,residential,74.15683001077073,0,0.2747,44.84,28.0,-17.838233,31.053107,Free flow,#1D9E75
1704361309_1704361312,,Other,residential,97.57352782209094,0,0.2737,44.89,28.0,-17.840047,31.056247,Free flow,#1D9E75
1704361309_1704361370,,Other,residential,163.60970123213318,0,0.2786,44.62,28.0,-17.826862,31.064485,Free flow,#1D9E75
1704361312_1704361205,Munro Road,Other,residential,242.79096860104767,0,0.2872,44.15,29.0,-17.832854,31.039783,Free flow,#1D9E75
1704361312_1704361309,,Other,residential,97.57352782209094,0,0.274,44.87,29.0,-17.824896,31.04919,Free flow,#1D9E75
1704361312_1704361389,Munro Road,Other,residential,247.77759402026248,0,0.2915,43.91,30.0,-17.82694,31.045142,Free flow,#1D9E75
1704361324_1704361274,Biddulph Road,Other,residential,99.3339257513632,0,0.2704,45.07,27.0,-17.831575,31.056159,Free flow,#1D9E75
1704361324_1704361290,,Other,residential,97.8537194018824,0,0.2686,45.17,27.0,-17.838145,31.064301,Free flow,#1D9E75
1704361324_321503594,Biddulph Road,Other,residential,125.77316258080674,0,0.2788,44.61,28.0,-17.843815,31.046822,Free flow,#1D9E75
1704361329_1704361290,,Other,residential,92.69495352014478,0,0.2819,44.44,28.0,-17.834747,31.029667,Free flow,#1D9E75
1704361329_1704361303,,Other,residential,95.68593201034884,0,0.2866,44.18,30.0,-17.823688,31.048589,Free flow,#1D9E75
1704361329_1704361370,,Other,residential,95.53002747347324,0,0.2912,43.93,30.0,-17.82914,31.061271,Free flow,#1D9E75
1704361368_1704361274,,Other,residential,287.6221176661012,0,0.304,43.22,32.0,-17.841531,31.057675,Moderate,#BA7517
1704361370_1704361309,,Other,residential,163.60970123213315,0,0.2837,44.34,29.0,-17.829487,31.056629,Free flow,#1D9E75
1704361370_1704361329,,Other,residential,95.53002747347324,0,0.2934,43.8,30.0,-17.827686,31.049854,Free flow,#1D9E75
1704361370_1704361389,,Other,residential,96.86926227216986,0,0.267,45.26,27.0,-17.838459,31.040297,Free flow,#1D9E75
1704361387_321503594,,Other,residential,95.15737619101752,0,0.294,43.77,31.0,-17.829652,31.057462,Free flow,#1D9E75
1704361389_1704361312,Munro Road,Other,residential,247.77759402026248,0,0.2651,45.37,27.0,-17.830463,31.044552,Free flow,#1D9E75
1704361389_1704361370,,Other,residential,96.86926227216986,0,0.2574,45.79,27.0,-17.840659,31.073426,Free flow,#1D9E75
2243568461_2243568462,,Other,residential,34.316037187976505,0,0.2814,44.47,29.0,-17.82792,31.05799,Free flow,#1D9E75
2243568461_283432140,Fereday Road,Other,residential,29.649772306404166,0,0.2524,46.07,25.0,-17.826197,31.046978,Free flow,#1D9E75
2243568461_283432141,Fereday Road,Other,residential,129.59663173567714,0,0.2996,43.46,30.0,-17.821764,31.046684,Free flow,#1D9E75
2243568462_2243568461,,Other,residential,34.316037187976505,0,0.2675,45.23,27.0,-17.822012,31.051643,Free flow,#1D9E75
2243568462_281627081,Robert Mugabe Road,Robert Mugabe Rd,primary,208.5454740379094,0,0.3727,39.44,53.0,-17.842651,31.050241,Moderate,#BA7517
2243568462_281627407,Robert Mugabe Road,Robert Mugabe Rd,primary,79.17657178500102,0,0.3692,39.63,53.0,-17.838917,31.063216,Moderate,#BA7517
2269911111_277995147,Bates Street,Other,residential,221.9170437041204,0,0.2866,44.18,29.0,-17.826585,31.054316,Free flow,#1D9E75
2269911111_277995163,Bates Street,Other,residential,196.944663165005,0,0.2648,45.38,27.0,-17.826596,31.045534,Free flow,#1D9E75
